Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1154003366147575808,"I had first met Chandra Shekhar Ji back in 1977. 

I also recall the time when I met him at Delhi airport. I was travelling with Bhairon Singh Shekhawat Ji. The two stalwarts enjoyed a very close bond despite having different political ideologies: PM @narendramodi",PMO India,PMOIndia,Wed Jul 24 12:20:17 +0000 2019,2897,409,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,1
1154003883535921154,"Chandra Shekhar Ji always referred to Atal Ji as 'Guru Ji.'

Chandra Shekhar Ji was a man of culture and principles. The Congress Party was at its peak yet he challenged the might of that party because he opposed certain aspects of the party. 

He was deeply influenced by JP: PM",PMO India,PMOIndia,Wed Jul 24 12:22:20 +0000 2019,3046,405,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,0
1154004133998809088,I have closely interacted with Mohan Dharia Ji and George Fernandes Ji. Both these stalwarts spoke highly about Chandra Shekhar Ji: PM @narendramodi,PMO India,PMOIndia,Wed Jul 24 12:23:20 +0000 2019,2333,289,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,1
1154004423359623170,"When he was ailing, Chandra Shekhar Ji called me and said I should meet him when I visit Delhi.

I went to meet him, he asked about Gujarat's development and also shared his perspective on many national issues. 

I can never forget that interaction, the clarity of thought: PM",PMO India,PMOIndia,Wed Jul 24 12:24:29 +0000 2019,3082,395,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,0
1154005165227200512,"These days, even if a small leader does a 10-12 km Padyatra, it is covered on TV.

But, why did we not honour the historic Padyatra of Chandra Shekhar Ji. He walked for our farmers, poor and marginalised. This is among the great injustices we have done to such a great leader: PM",PMO India,PMOIndia,Wed Jul 24 12:27:26 +0000 2019,3817,557,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,0
1154005620946690050,"There is a coterie of people who have created adverse images of greats like Dr. Ambedkar and Sardar Patel. This same coterie destroyed the image of Morarji Bhai. They created labels, narratives and titles for our former PMs: PM @narendramodi",PMO India,PMOIndia,Wed Jul 24 12:29:15 +0000 2019,4128,605,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,1
1154006099638382593,"There will be a museum for all former Prime Ministers who have served our nation. I invite their families to share aspects of the lives of former PMs be it Charan Singh Ji, Deve Gowda Ji, IK Gujral Ji and Dr. Manmohan Singh Ji: PM @narendramodi",PMO India,PMOIndia,Wed Jul 24 12:31:09 +0000 2019,20466,2513,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,1
1154054231965356033,"India jumped 29 notches in Global Innovation Index rankings in 4 years, and makes it to 52nd rank

With PM @NarendraModi ji's focus on improving innovation including Information &amp; Communications Technology (ICT), patents and R&amp;D, we are certain to make it to the top 25-club soon. https://t.co/qmOp0K158j",PMO India,PMOIndia,Wed Jul 24 15:42:24 +0000 2019,0,1872,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Photo,0,0,1
1154288059145261056,"Will build museum for all former PMs, some leaders not given due respect: PM ⁦@narendramodi⁩
https://t.co/LsDZ7sTwp7

via NaMo App https://t.co/i6f9DF00l5",PMO India,PMOIndia,Thu Jul 25 07:11:33 +0000 2019,6864,929,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Photo,1,0,1
1154632993182371840,"PM @narendramodi joined other dignitaries including Lok Sabha Speaker @ombirlakota Ji, Defence Minister @rajnathsingh Ji, Home Minister @AmitShah Ji, MP Shri Adhir Ranjan Chowdhury Ji at the tree plantation drive organised by the Lok Sabha secretariat. https://t.co/c7zKDdpVUr",PMO India,PMOIndia,Fri Jul 26 06:02:12 +0000 2019,10037,1181,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,0,4
